id,preg_rate_color,chlamydia_rate_color,women_uninsured_rate_color,child_poverty_rate_color,adherents_rate_color,feature_rate_color,predicted_vals
5093,"rgb(8,48,107)","rgb(45,56,10)","rgb(158,81,28)","rgb(0,60,64)","rgb(62,15,85)","rgb(120,32,21)","rgb(105,105,105)"
5095,"rgb(8,81,156)","rgb(68,85,15)","rgb(158,81,28)","rgb(0,60,64)","rgb(62,15,85)","rgb(120,32,21)","rgb(105,105,105)"
5097,"rgb(33,113,181)","rgb(200,229,109)","rgb(227,149,95)","rgb(0,92,98)","rgb(147,36,200)","rgb(105,105,105)","rgb(105,105,105)"
5099,"rgb(8,48,107)","rgb(45,56,10)","rgb(129,66,23)","rgb(0,92,98)","rgb(147,36,200)","rgb(120,32,21)","rgb(120,32,21)"
5101,"rgb(66,146,198)","rgb(200,229,109)","rgb(129,66,23)","rgb(0,60,64)","rgb(190,109,229)","rgb(105,105,105)","rgb(120,32,21)"
5103,"rgb(8,81,156)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,92,98)","rgb(41,10,56)","rgb(120,32,21)","rgb(105,105,105)"
5105,"rgb(107,174,214)","rgb(161,200,36)","rgb(227,149,95)","rgb(0,124,132)","rgb(177,80,224)","rgb(105,105,105)","rgb(120,32,21)"
5107,"rgb(8,48,107)","rgb(45,56,10)","rgb(187,96,33)","rgb(0,60,64)","rgb(125,31,171)","rgb(120,32,21)","rgb(105,105,105)"
5109,"rgb(33,113,181)","rgb(138,171,31)","rgb(227,149,95)","rgb(0,124,132)","rgb(83,20,114)","rgb(105,105,105)","rgb(105,105,105)"
5111,"rgb(8,48,107)","rgb(91,114,20)","rgb(158,81,28)","rgb(0,60,64)","rgb(62,15,85)","rgb(105,105,105)","rgb(105,105,105)"
5113,"rgb(8,48,107)","rgb(161,200,36)","rgb(129,66,23)","rgb(0,92,98)","rgb(104,25,142)","rgb(105,105,105)","rgb(105,105,105)"
5115,"rgb(66,146,198)","rgb(138,171,31)","rgb(129,66,23)","rgb(0,124,132)","rgb(147,36,200)","rgb(105,105,105)","rgb(105,105,105)"
5117,"rgb(33,113,181)","rgb(114,142,25)","rgb(129,66,23)","rgb(0,124,132)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
5119,"rgb(33,113,181)","rgb(45,56,10)","rgb(129,66,23)","rgb(0,156,166)","rgb(83,20,114)","rgb(105,105,105)","rgb(105,105,105)"
